Name,Extracted_name,Value,Raw_unit,Type
Li1+xYxZr2−x(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': 'x+1', 'Y': 'x', 'Zr': '2-x'}]",0.000071,Scm−1,None
Li2S–P2S5,"[{'Li': '2.0', 'S': '1.0'}]",0.005,Scm−1,None
YPO4,"[{'Y': '1.0', 'P': '1.0', 'O': '4.0'}]",0.0005,mScm−1,None
Na3+xZr2Si2+xP1−xO12,"[{'Na': 'x+3', 'Zr': '2.0', 'Si': 'x+2', 'P': '1-x', 'O': '12.0'}]",0.0001,Scm−1,None
Co2P,"[{'Co': '2.0', 'P': '1.0'}]",0.0001,Scm−1,None
V2O5–xH2O,"[{'V': '2.0', 'O': '5.0'}]",0.09,Scm−1,None
CoOOH,"[{'Co': '1.0', 'O': '2.0', 'H': '1.0'}]",0.01,Scm−1,None
LiBF4–LiClO4,"[{'Li': '1.0', 'B': '1.0', 'F': '4.0'}]",0.01,Scm−1,None
Li(NH3)BH4,"[{'N': '1.0', 'H': '7.0', 'Li': '1.0', 'B': '1.0'}]",1.5E-6,Scm−1,None
FeF2.5·0.5H2O,"[{'Fe': '1.0', 'F': '2.5'}]",0.3164,Scm−1,None
H3PO4,"[{'H': '3.0', 'P': '1.0', 'O': '4.0'}]",0.0032,S/cm,None
LiBF4,"[{'Li': '1.0', 'B': '1.0', 'F': '4.0'}]",0.00096,mScm−1,None
LiTa2PO8,"[{'Li': '1.0', 'Ta': '2.0', 'P': '1.0', 'O': '8.0'}]",0.003,Scm−1,None
LiBiO2,"[{'Li': '1.0', 'Bi': '1.0', 'O': '2.0'}]",8,S/cm,None
Mg(OH)2,"[{'O': '2.0', 'H': '2.0', 'Mg': '1.0'}]",0.000542,mScm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",1E-10,Scm−1,None
Silica,"[{'Si': '1.0', 'O': '2.0'}]",0.00119,mScm−1,None
Tetraglyme,"[{'C': '10.0', 'H': '22.0', 'O': '5.0'}]",0.0000245,Scm−1,None
YPO4,"[{'Y': '1.0', 'P': '1.0', 'O': '4.0'}]",1E-6,mScm−1,None
(LiClO4)0.35}n,"[{'Li': '0.35', 'Cl': '0.35', 'O': '1.4'}]",1.6E-6,Scm−1,None
Na3SbS4,"[{'Na': '3.0', 'Sb': '1.0', 'S': '4.0'}]",0.000252,Scm−1,None
ZrO2,"[{'Zr': '1.0', 'O': '2.0'}]",0.00153,Scm−1,None
Al2O3,"[{'Al': '2.0', 'O': '3.0'}]",0.0012,mScm−1,None
Li0.2CdP2,"[{'Li': '0.2', 'Cd': '1.0', 'P': '2.0'}]",0.00001,Scm−1,None
Li1−xFePO4,"[{'Li': '1-x', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.7E-9,Scm−1,None
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",0.01,Scm-1,None
Na3.9Sm0.6P0.3Si2.7O9,"[{'Na': '3.9', 'Sm': '0.6', 'P': '0.3', 'Si': '2.7', 'O': '9.0'}]",0.0907,S/cm,None
Li2S–P2S5,"[{'Li': '2.0', 'S': '1.0'}]",0.001,Scm−1,None
LiFe1 / 3Mn1 / 3Co1 / 3PO4 / C,"[{'Li': '1.0', 'Fe': '0.3333', 'Mn': '0.3333', 'Co': '0.3333', 'P': '1.0', 'O':",0.0446,Scm−1,None
Polyethylene oxide,"[{'C': '2.0', 'H': '4.0', 'O': '1.0'}]",1E-8,Scm−1,None
IPEs,"[{'I': '1.0', 'P': '1.0', 'Es': '1.0'}]",0.00013,S/cm,None
Li7BiO6,"[{'Li': '7.0', 'Bi': '1.0', 'O': '6.0'}]",3,S/cm,None
Li3PO4,"[{'Li': '3.0', 'P': '1.0', 'O': '4.0'}]",1.4E-10,S/cm,None
TiO2 @ C-1,"[{'Ti': '1.0', 'O': '2.0'}]",0.0001353,Scm−1,None
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",1E-6,Scm−1,None
Lithium oxalate,"[{'Li': '2.0', 'C': '2.0', 'O': '4.0'}]",1E-8,Scm−1,None
LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",0.001,Scm−1,None
LiOH,"[{'Li': '1.0', 'O': '1.0', 'H': '1.0'}]",0.000225,Scm−1,None
Argyrodite,"[{'Ag': '8.0', 'Ge': '1.0', 'S': '6.0'}]",0.001,mS/cm,None
V2O5–P2O5,"[{'V': '2.0', 'O': '5.0'}]",1.7E-8,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",1E-14,Scm−1,None
LiBF4,"[{'Li': '1.0', 'B': '1.0', 'F': '4.0'}]",0.001,Scm−1,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",0.0001,Scm−1,None
H2SO4,"[{'H': '2.0', 'S': '1.0', 'O': '4.0'}]",0.00105,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.7E-9,Scm−1,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",2.4E-6,Scm−1,None
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",5E-8,S/cm,None
Li1.5Al0.5Ge1.5(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '1.5', 'Al': '0.5', 'Ge': '1.5'}]",0.00001,S/cm,None
Lithium titanium phosphate,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Ti': '2.0'}]",0.000613,S/cm,None
Li7BiO6,"[{'Li': '7.0', 'Bi': '1.0', 'O': '6.0'}]",7,S/cm,None
CoOOH,"[{'Co': '1.0', 'O': '2.0', 'H': '1.0'}]",0.01,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",2.4E-7,Scm−1,None
Li3OCl,"[{'Li': '3.0', 'O': '1.0', 'Cl': '1.0'}]",0.000227,Scm−1,None
Li0.33La0.57TiO3,"[{'Li': '0.33', 'La': '0.57', 'Ti': '1.0', 'O': '3.0'}]",4E-9,Scm−1,None
Alumina,"[{'Al': '2.0', 'O': '3.0'}]",0.0001,Scm−1,None
Li0.5La0.5TiO3,"[{'Li': '0.5', 'La': '0.5', 'Ti': '1.0', 'O': '3.0'}]",1E-9,S/cm,None
H2SO4,"[{'H': '2.0', 'S': '1.0', 'O': '4.0'}]",0.0001,mS/cm,None
Al-doped Li7−3xLa3Zr2AlxO12,"[{'Li': '7-3*x', 'La': '3.0', 'Zr': '2.0', 'Al': 'x', 'O': '12.0'}]",1.2E-6,Scm−1,None
Propylene carbonate,"[{'C': '4.0', 'H': '6.0', 'O': '3.0'}]",0.0001,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",5.478E-6,Scm−1,None
LiPON,"[{'Li': '1.0', 'P': '1.0', 'O': '1.0', 'N': '1.0'}]",4.62E-7,Scm−1,None
WO3·2H2O,"[{'W': '1.0', 'O': '3.0'}]",0.00063,Scm−1,None
LiCr(MoO4)2,"[{'Mo': '2.0', 'O': '8.0', 'Li': '1.0', 'Cr': '1.0'}]",0.000087,Scm−1,None
Polyethylene oxide,"[{'C': '2.0', 'H': '4.0', 'O': '1.0'}]",0.00001,Scm−1,None
Lithium cobalt oxide,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",0.000012,Scm−1,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",0.000283,Scm−1,None
POSS,"[{'P': '1.0', 'O': '1.0', 'S': '2.0'}]",0.000056,Scm−1,None
Hydrazine,"[{'N': '2.0', 'H': '4.0'}]",2.6,Scm−1,None
LixFePO4,"[{'Li': 'x', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",1,S/cm,None
Na+ / Na,"[{'Na': '1.0'}, {'Na': '1.0'}]",0.0215,Scm−1,None
NiCO2O4,"[{'Ni': '1.0', 'C': '1.0', 'O': '6.0'}]",0.25,Scm−1,None
PVdF,"[{'P': '1.0', 'V': 'd', 'F': '1.0'}]",0.00085,Scm−1,None
Li2MnSiO4,"[{'Li': '2.0', 'Mn': '1.0', 'Si': '1.0', 'O': '4.0'}]",5E-16,Scm−1,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",1.7E-8,Scm−1,None
NbO2,"[{'Nb': '1.0', 'O': '2.0'}]",0.0001,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",0.017,mS/cm,None
Li2S,"[{'Li': '2.0', 'S': '1.0'}]",0.0000158489,Scm−1,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",8.8E-9,S/cm,None
Methanol,"[{'C': '1.0', 'H': '4.0', 'O': '1.0'}]",0.01,S/cm,None
Sodium citrate,"[{'C': '6.0', 'O': '7.0', 'Na': '3.0', 'H': '5.0'}]",0.00246,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",1E-15,S/cm,None
Na5P10,"[{'Na': '5.0', 'P': '10.0'}]",0.00006518,Scm−1,None
Li2S–P2S5,"[{'Li': '2.0', 'S': '1.0'}]",0.0001,Scm−1,None
50Li2O·5B2O3·45P2O5,"[{'Li': '2.0', 'O': '1.0'}]",8.3,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",0.00571,Scm−1,None
Co(II),"[{'I': '2.0', 'Co': '1.0'}]",0.0058,mS/cm,None
Li4Ti4.95Al0.05O12 / C,"[{'Li': '4.0', 'Ti': '4.95', 'Al': '0.05', 'O': '12.0'}, {'C': '1.0'}]",1E-9,Scm−1,None
LiClO4,"[{'Li': '1.0', 'Cl': '1.0', 'O': '4.0'}]",0.00051,mScm−1,None
LiMn2 O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",0.01,S/cm,None
1-ethyl-3-methylimidazolium tetra,"[{'C': '6.0', 'H': '11.0', 'B': '1.0', 'F': '4.0', 'N': '2.0'}]",0.0136,mScm−1,None
Polyethylene glycol,"[{'C': '2*n', 'H': '4*n+2', 'O': 'n+1'}]",0.0244,Scm−1,None
PPy / MoO3,"[{'P': 'y+1'}, {'Mo': '1.0', 'O': '3.0'}]",0.00001,Scm−1,None
Magnesium perchlorate,"[{'Cl': '2.0', 'O': '8.0', 'Mg': '1.0'}]",0.0001,Scm−1,None
Li7La3Zr2O12,"[{'Li': '7.0', 'La': '3.0', 'Zr': '2.0', 'O': '12.0'}]",5.2E-6,Scm−1,None
Ce0.8Sm0.2O1.9,"[{'Ce': '0.8', 'Sm': '0.2', 'O': '1.9'}]",0.0121,S/cm,None
Li2.9B0.9S0.1O3.1,"[{'Li': '2.9', 'B': '0.9', 'S': '0.1', 'O': '3.1'}]",0.0003,S/cm,None
SiS2–Li3PO4,"[{'Si': '1.0', 'S': '2.0'}]",0.001,Scm−1,None
