Name,Extracted_name,Value,Raw_unit,Type
Li(Ni0.5Co0.2Mn0.3)O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",812.02857143,Wh/kg,None
CTAB,"[{'C': '19.0', 'H': '42.0', 'N': '1.0', 'Br': '1.0'}]",249.50246658,Wh/kg,None
MnO2 / graphene,"[{'Mn': '1.0', 'O': '2.0'}]",4.9,Whkg−1,None
Lead sulfate,"[{'S': '2.0', 'O': '8.0', 'Pb': '1.0'}]",30.93,Whkg−1,None
NPV,"[{'N': '1.0', 'P': '1.0', 'V': '1.0'}]",1446.5,Wh/kg,None
Li3V(MoO4)3,"[{'Mo': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '1.0'}]",2548.63375,Wh/kg,None
NVO600,"[{'N': '1.0', 'V': '1.0', 'O': '600.0'}]",539.84285714,Wh/kg,None
Ti3C2,"[{'Ti': '3.0', 'C': '2.0'}]",268.775,Wh/kg,None
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",5,Whkg−1,None
3Fe0.5Mn0.5O2,"[{'Fe': '0.5', 'Mn': '0.5', 'O': '2.0'}]",570,Whkg−1,None
CNT / Ni(OH)2 / / rGO,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",35,Whkg−1,None
Co(OH)2 / / AC,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",13.6,Whkg−1,None
Na0.44MnO2 / / NaTi2(PO4)3 @ CNT,"[{'Na': '0.44', 'Mn': '1.0', 'O': '2.0'}]",58.7,Whkg−1,None
NiCo2S4 @ PPy / / AC,"[{'Ni': '1.0', 'Co': '2.0', 'S': '4.0', 'P': 'y+1'}]",34.6,Whkg−1,None
Li12Bi4V2O11,"[{'Li': '12.0', 'Bi': '4.0', 'V': '2.0', 'O': '11.0'}]",252,Wh/kg,None
Ni(NO3)2,"[{'N': '2.0', 'O': '6.0', 'Ni': '1.0'}]",339.465,Wh/kg,None
MnO2 / graphene,"[{'Mn': '1.0', 'O': '2.0'}]",6.8,Whkg−1,None
Li1.94Na0.06RuO3,"[{'Li': '1.94', 'Na': '0.06', 'Ru': '1.0', 'O': '3.0'}]",673,Whkg−1,None
MoS2-PDA-GO30 / / LiCoO2,"[{'Mo': '1.0', 'S': '2.0'}, {'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",1750,Whkg−1,None
Carbon / LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",35,Whkg−1,None
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",650,Wh/kg,None
MnO2 / / Bi2O3,"[{'Mn': '1.0', 'O': '2.0'}, {'Bi': '2.0', 'O': '3.0'}]",273.4,Whkg−1,None
LiNi0.85Co0.05Mn0.1O2 / Si–carb,"[{'Li': '1.0', 'Ni': '0.85', 'Co': '0.05', 'Mn': '0.1', 'O': '2.0'}]",350,Whkg−1,None
MoS2 / GNS-15,"[{'Mo': '1.0', 'S': '2.0'}]",1747.7566667,Wh/kg,None
CoSnC,"[{'Co': '1.0', 'Sn': '1.0', 'C': '1.0'}]",826.66666667,Wh/kg,None
CaCl2,"[{'Ca': '1.0', 'Cl': '2.0'}]",20,Whkg−1,None
LiMn,"[{'Li': '1.0', 'Mn': '1.0'}]",110,Wh/kg,None
