Compound_name,Extracted_name,Molecular_weight,Type,Energy_in_Watt_hour_per_kg
Li2S / C-,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.951,Cath,630.0
SnO2 @ C,"[{'Sn': '1.0', 'O': '2.0'}, {'C': '1.0'}]",162.719,Anod,18.0
Li3N,"[{'Li': '3.0', 'N': '1.0'}]",34.827,Cath,74.7
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",207.091,Cath,726.0
LiNiPO4,"[{'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",160.603,Cath,800.0
Sb2O3,"[{'Sb': '2.0', 'O': '3.0'}]",291.517,Anod,220.5
Li5MnV2O6,"[{'Li': '5.0', 'Mn': '1.0', 'V': '2.0', 'O': '6.0'}]",287.515,Anod,500.0
NVP / C-MSs,"[{'N': '1.0', 'V': '1.0', 'P': '1.0'}]",95.9225,Cath,382.9
NCS,"[{'N': '1.0', 'C': '1.0', 'S': '1.0'}]",58.078,Anod,17.8
Na0.25MnO2,"[{'Na': '0.25', 'Mn': '1.0', 'O': '2.0'}]",92.6835,Cath,61.1
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",459.083,Anod,50.0
LiCoO2 / C,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}, {'C': '1.0'}]",109.882,Cath,40.0
ZnFe2O4-C,"[{'Zn': '1.0', 'Fe': '2.0', 'O': '4.0'}]",241.066,Anod,202.0
Na3.5V2(PO4)2F3,"[{'P': '2.0', 'O': '8.0', 'Na': '3.5', 'V': '2.0', 'F': '3.0'}]",429.282,Cath,310.0
LiMnBO3,"[{'Li': '1.0', 'Mn': '1.0', 'B': '1.0', 'O': '3.0'}]",120.685,Cath,275.0
Na0.44Mn0.6Ni0.3Cu0.1O2,"[{'Na': '0.44', 'Mn': '0.6', 'Ni': '0.3', 'Cu': '0.1', 'O': '2.0'}]",99.0389,Cath,469.0
NaFeF3,"[{'Na': '1.0', 'Fe': '1.0', 'F': '3.0'}]",135.829,Cath,500.0
NaBi,"[{'Na': '1.0', 'Bi': '1.0'}]",231.97,Anod,106.5
FeSe2,"[{'Fe': '1.0', 'Se': '2.0'}]",213.787,Anod,10.4
Li20S10,"[{'Li': '20.0', 'S': '10.0'}]",459.4,Cath,1480.0
NiCl2 / NiS2,"[{'Ni': '1.0', 'Cl': '2.0'}, {'Ni': '1.0', 'S': '2.0'}]",252.406,Cath,1359.86
Li3V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",407.613,Cath,800.0
B-Si / SiO2 / C,"[{'Si': '1.0', 'O': '2.0'}, {'C': '1.0'}]",72.094,Anod,128.0
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",92.947,Anod,22.0
FePO4,"[{'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",150.815,Cath,144.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,873.0
MoO2,"[{'Mo': '1.0', 'O': '2.0'}]",127.948,Anod,179.0
