Compound_name,Extracted_name,Molecular_weight,Type,Voltage_in_V
NP-Si @ TiO2,"[{'N': '1.0', 'P': '1.0'}, {'Ti': '1.0', 'O': '2.0'}]",124.846,Anod,1.5
MoSe2 / MoO3,"[{'Mo': '1.0', 'Se': '2.0'}, {'Mo': '1.0', 'O': '3.0'}]",397.839,Anod,3.0
PtRu,"[{'Pt': '1.0', 'Ru': '1.0'}]",296.15,Anod,0.65
Li2Se,"[{'Li': '2.0', 'Se': '1.0'}]",92.851,Cath,2.4
FeOCl,"[{'Fe': '1.0', 'O': '1.0', 'Cl': '1.0'}]",107.294,Cath,3.5
Copper oxide,"[{'Cu': '2.0', 'O': '3.0'}]",175.089,Anod,1.0
Iron sulfide,"[{'Fe': '2.0', 'S': '3.0'}]",207.87,Cath,1.8
RuO2 @ NiCo2O4,"[{'Ru': '1.0', 'O': '2.0'}, {'Ni': '1.0', 'Co': '2.0', 'O': '4.0'}]",373.62299999999993,Cath,0.614
LiMnPO4 / C,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",168.859,Cath,4.5
NiO2,"[{'Ni': '1.0', 'O': '2.0'}]",90.691,Cath,4.2
(MoO2)2P2O7,"[{'Mo': '2.0', 'O': '11.0', 'P': '2.0'}]",429.837,Cath,3.7
Pt / Pd,"[{'Pt': '1.0'}, {'Pd': '1.0'}]",301.5,Anod,0.925
Ni-doped Na0.7MnO2,"[{'Na': '0.7', 'Mn': '1.0', 'O': '2.0'}]",103.029,Cath,3.9
Cr-doped LiMnO2,"[{'Li': '1.0', 'Mn': '1.0', 'O': '2.0'}]",93.876,Cath,2.5
N2NO,"[{'N': '3.0', 'O': '1.0'}]",58.02,Cath,0.2
Na3FeF6 / CNTs,"[{'Na': '3.0', 'Fe': '1.0', 'F': '6.0'}]",238.803,Cath,1.0
Na3V2(PO4)2 @ C,"[{'P': '2.0', 'O': '8.0', 'Na': '3.0', 'V': '2.0'}, {'C': '1.0'}]",372.804,Cath,2.2
