Name,Extracted_name,Value,Raw_unit,Type
V2O5,"[{'V': '2.0', 'O': '5.0'}]",3.5,V vs. Li,Cath
NKVO @ V2O5,"[{'N': '1.0', 'K': '1.0', 'V': '1.0', 'O': '1.0'}, {'V': '2.0', 'O': '5.0'}]",1,V vs,Anod
Na4Fe(CN)6 / NaCl,"[{'C': '6.0', 'N': '6.0', 'Na': '4.0', 'Fe': '1.0'}, {'Na': '1.0', 'Cl': '1.0'}",3.5,V,Cath
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",5,V,Cath
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",3,V,Cath
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1,V,Anod
Co2P,"[{'Co': '2.0', 'P': '1.0'}]",3.5,V,Cath
Li2FeSiO4 / C,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",3.2,V,Cath
Co3O4,"[{'Co': '3.0', 'O': '4.0'}]",0.87,V,Anod
LiMn2O4,"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",1.95,V,Cath
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",4,V,Cath
SnS2 / CNTs,"[{'Sn': '1.0', 'S': '2.0'}]",0.45,V,Anod
LiNixCoyMn1âx â yO2,"[{'Li': '1.0', 'Ni': 'x', 'Co': 'y', 'Mn': '-x-y+1', 'O': '2.0'}]",4.9,V,Cath
LiCoPO4,"[{'Li': '1.0', 'Co': '1.0', 'P': '1.0', 'O': '4.0'}]",5,V,Cath
H2SO4,"[{'H': '2.0', 'S': '1.0', 'O': '4.0'}]",1.23,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.2,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.41,V,Cath
Mn3V19-HIL / RGO-1,"[{'Mn': '3.0', 'V': '19.0'}]",3.5,VversusL,Cath
Pd / PNCNF-3,"[{'Pd': '1.0'}, {'P': '1.0', 'N': '2.0', 'C': '1.0', 'F': '1.0'}]",4.14,V,Cath
BOx,"[{'B': '1.0', 'O': 'x'}]",0.435,V,Cath
Pt / C,"[{'Pt': '1.0'}, {'C': '1.0'}]",1.028,V,Cath
5 V LiFe0.5Mn1.5O4,"[{'V': '1.0', 'Li': '1.0', 'Fe': '0.5', 'Mn': '1.5', 'O': '4.0'}]",5,V,Cath
FeF3,"[{'Fe': '1.0', 'F': '3.0'}]",4.5,V,Cath
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",3.8,V,Anod
LiMn1.5Ni0.5O4,"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",4.7,Vvs.Li+,Cath
LTO,"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",1.55,V,Anod
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",4.2,V,Cath
NaVOPO4 / C,"[{'Na': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'C': '1.0'}]",2.8,V,Cath
Na2Ti3O7,"[{'Na': '2.0', 'Ti': '3.0', 'O': '7.0'}]",3.1,V,Anod
