Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent,Conductivity_in_Siemens_per_cm,Energy_in_Watt_hour_per_kg
Li2S-Based,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.8,60.0,,
Li2S-Based,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,4.8,100.0,,
Li2S-Based,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,3.31,60.0,,
Li2S-Based,"[{'Li': '2.0', 'S': '1.0'}]",45.940000000000005,Cath,650.0,3.31,100.0,,
NS-CO,"[{'N': '1.0', 'S': '1.0'}]",46.067,Anod,596.0,4.2,,,
,,48.016,,,3.0,,,
3Mn1 / 3O2,"[{'Mn': '0.3333', 'O': '2.0'}]",50.3088354,Cath,21.0,4.8,,,
3Co1 / 3O2,"[{'Co': '0.3333', 'O': '2.0'}]",51.6403689,Cath,144.0,,,,
,,53.795,,,,,0.001,
NaAlH4,"[{'Na': '1.0', 'Al': '1.0', 'H': '4.0'}]",54.00399999999999,Anod,330.0,,,,
SiCN,"[{'Si': '1.0', 'C': '1.0', 'N': '1.0'}]",54.103,Anod,700.0,0.9,,,
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,0.6,58.0,,873.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,0.6,100.0,,873.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,1.8,58.0,,873.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,1.8,100.0,,873.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,2.75,58.0,,873.0
SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,1280.0,2.75,100.0,,873.0
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,357.0,0.6,58.0,,873.0
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,357.0,0.6,100.0,,873.0
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,357.0,1.8,58.0,,873.0
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,357.0,1.8,100.0,,873.0
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,357.0,2.75,58.0,,873.0
GNS / SiOC,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Anod,357.0,2.75,100.0,,873.0
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",56.095,Anod,501.0,0.6,58.0,,873.0
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",56.095,Anod,501.0,0.6,100.0,,873.0
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",56.095,Anod,501.0,1.8,58.0,,873.0
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",56.095,Anod,501.0,1.8,100.0,,873.0
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",56.095,Anod,501.0,2.75,58.0,,873.0
SiO @ C,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0'}]",56.095,Anod,501.0,2.75,100.0,,873.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,485.0,0.6,58.0,,873.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,485.0,0.6,100.0,,873.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,485.0,1.8,58.0,,873.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,485.0,1.8,100.0,,873.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,485.0,2.75,58.0,,873.0
SiOCâSe,"[{'Si': '1.0', 'O': '1.0', 'C': '1.0'}]",56.095,Cath,485.0,2.75,100.0,,873.0
SiCO,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,800.0,1.0,100.0,,
SiCOâTiO2,"[{'Si': '1.0', 'C': '1.0', 'O': '1.0'}]",56.095000000000006,Anod,1290.0,1.0,100.0,,
N-GP / CPN-S,"[{'C': '1.0', 'P': '1.0', 'N': '1.0'}]",56.992,Cath,687.0,,,,
,,57.951,,,,,,888.0
,,57.951,,,,,,630.0
Li2S @ C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cath,591.0,2.6,,,
Li2S / C-,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cath,600.0,2.6,,,
Li2S / C,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0'}]",57.95100000000001,Cath,900.0,2.6,,,
,,58.0,,,0.25,,,
,,58.02,,,0.2,,,
,,58.078,,,,,,17.8
Li4.4Si,"[{'Li': '4.4', 'Si': '1.0'}]",58.62100000000001,Anod,4200.0,,,,
,,59.086,,,,,,13.5
TiC / C-S,"[{'Ti': '1.0', 'C': '1.0'}]",59.878,Cath,821.0,,98.7,,
TiC,"[{'Ti': '1.0', 'C': '1.0'}]",59.878,Cath,860.0,,98.7,,
Carbonate,"[{'C': '1.0', 'O': '3.0'}]",60.008,Anod,188.8,,,,
SiO2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,877.0,,60.7,,
Silica,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,1965.0,,60.7,,
N-OMC / SiO2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,778.0,,60.7,,
SiO2 / N-C,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Anod,49.6,,60.7,,
SiO2-2,"[{'Si': '1.0', 'O': '2.0'}]",60.083,Cath,352.7,,60.7,,
TiN @ CNT-S,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cath,611.0,0.49,96.0,,
TiN,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Cath,171.0,0.49,96.0,,
TiN @ Sn-120,"[{'Ti': '1.0', 'N': '1.0'}]",61.874,Anod,616.0,0.49,96.0,,
Li2S / CNT / C-N / O,"[{'Li': '2.0', 'S': '1.0'}, {'O': '1.0'}]",61.93900000000001,Cath,577.0,0.08,,,
Na oxide,"[{'Na': '2.0', 'O': '1.0'}]",61.979,Cath,15.0,,,,
MgF2,"[{'Mg': '1.0', 'F': '2.0'}]",62.301,Anod,5.0,,,,
P(S-DVB),"[{'S': '1.0', 'P': '1.0'}]",63.034000000000006,Cath,800.0,,,,
Metal oxide / sulfide / phosphide,"[{'S': '1.0'}, {'P': '1.0'}]",63.034000000000006,Anod,250.0,,,,
TiO @ C-HS,"[{'Ti': '1.0', 'O': '1.0'}]",63.866,Cath,1100.0,,,,
LiNi0.5Co0.2Mn0.3,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3'}]",64.55449999999999,Cath,200.0,,,,
SiBCN / GN-ld,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",64.91300000000001,Anod,347.0,0.9,,,
SiBCN / GN-sp,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",64.91300000000001,Anod,401.3,0.9,,,
SiBCN,"[{'Si': '1.0', 'B': '1.0', 'C': '1.0', 'N': '1.0'}]",64.91300000000001,Anod,365.0,0.9,,,
NFS,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",65.065,Cath,87.5,4.5,,,
NFS / rGO,"[{'N': '1.0', 'F': '1.0', 'S': '1.0'}]",65.065,Cath,60.0,4.5,,,
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",65.075,Cath,1000.0,0.78,,,
