Compound_name,Extracted_name,Molecular_weight,Type,Capacity_per_gram_in_mAh,Voltage_in_V,Efficiency_in_percent
Ni / Si,"[{'Ni': '1.0'}, {'Si': '1.0'}]",86.77799999999999,Anode,4095.0,1.5,94.6
BPCNF-900,"[{'B': '1.0', 'P': '1.0', 'C': '1.0', 'N': '1.0', 'F': '1.0'}]",86.80000000000001,Anode,746.0,2.194840252955733,82.96507552238806
FeP,"[{'Fe': '1.0', 'P': '1.0'}]",86.819,Anode,764.7,2.194840252955733,100.0
MnO2-280H,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Cathode,915.0,3.0,38.0
MnS-(ZnCo)S / N-C,"[{'Mn': '1.0', 'S': '1.0'}]",86.998,Anode,396.0,3.0,82.96507552238806
Li1.15(Ni0.36Mn0.64)0.85O2,"[{'Ni': '0.306', 'Mn': '0.544', 'Li': '1.15', 'O': '2.0'}]",87.82533000000001,Cathode,220.0,2.194840252955733,82.0
FeHCF,"[{'Fe': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",87.86200000000001,Cathode,50.0,2.194840252955733,82.96507552238806
FeS,"[{'Fe': '1.0', 'S': '1.0'}]",87.905,Anode,703.0,2.194840252955733,82.96507552238806
HCN @ TiN-S,"[{'H': '1.0', 'C': '1.0', 'N': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",88.9,Cathode,1097.8,2.194840252955733,98.0
Li1.131Mn0.504Ni0.243Co0.122O2,"[{'Li': '1.131', 'Mn': '0.504', 'Ni': '0.243', 'Co': '0.122', 'O': '2.0'}]",88.988117,Cathode,246.5,2.194840252955733,82.96507552238806
SiO / CNF,"[{'Si': '1.0', 'O': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",89.10000000000001,Anode,700.0,2.194840252955733,82.96507552238806
Li0.33MnO2,"[{'Li': '0.33', 'Mn': '1.0', 'O': '2.0'}]",89.2262,Cathode,200.0,2.194840252955733,82.96507552238806
Nickel phosphide,"[{'Ni': '1.0', 'P': '1.0'}]",89.667,Anode,500.0,0.4,82.96507552238806
CoP,"[{'Co': '1.0', 'P': '1.0'}]",89.907,Anode,500.0,3.0,82.96507552238806
Si @ TiN,"[{'Si': '1.0'}, {'Ti': '1.0', 'N': '1.0'}]",89.959,Anode,2048.8,2.194840252955733,82.96507552238806
SiP2,"[{'Si': '1.0', 'P': '2.0'}]",90.033,Anode,491.0,2.194840252955733,82.96507552238806
NiHCF,"[{'Ni': '1.0', 'H': '1.0', 'C': '1.0', 'F': '1.0'}]",90.71,Cathode,60.0,3.3,82.96507552238806
NiS,"[{'Ni': '1.0', 'S': '1.0'}]",90.753,Cathode,153.0,2.194840252955733,82.96507552238806
Li1.3Nb0.3Mn0.4O2,"[{'Li': '1.3', 'Nb': '0.3', 'Mn': '0.4', 'O': '2.0'}]",90.867,Cathode,300.0,2.194840252955733,82.96507552238806
LiCrO2Â·Li2MnO3,"[{'Li': '1.0', 'Cr': '1.0', 'O': '2.0'}]",90.934,Cathode,172.0,2.73,85.0
Li2S / CNF,"[{'Li': '2.0', 'S': '1.0'}, {'C': '1.0', 'N': '1.0', 'F': '1.0'}]",90.95600000000002,Cathode,520.0,2.194840252955733,82.96507552238806
Se / C,"[{'Se': '1.0'}, {'C': '1.0'}]",90.982,Cathode,600.0,2.194840252955733,95.0
CoS @ 1T-MoS2,"[{'Co': '1.0', 'S': '1.0'}]",90.993,Anode,1294.0,2.194840252955733,82.96507552238806
LiCr0.33V0.33Mn0.33O2,"[{'Li': '1.0', 'Cr': '0.33', 'V': '0.33', 'Mn': '0.33', 'O': '2.0'}]",91.036915,Cathode,210.0,2.194840252955733,82.96507552238806
SiVC-2,"[{'Si': '1.0', 'V': '1.0', 'C': '1.0'}]",91.0375,Anode,901.0,2.194840252955733,82.96507552238806
NiOOH,"[{'Ni': '1.0', 'O': '2.0', 'H': '1.0'}]",91.699,Cathode,275.0,1.15,82.96507552238806
TiO2 / C,"[{'Ti': '1.0', 'O': '2.0'}, {'C': '1.0'}]",91.876,Anode,207.0,2.194840252955733,84.2
Orthosilicate,"[{'Si': '1.0', 'O': '4.0'}]",92.081,Cathode,14.0,2.5,82.96507552238806
Ni(OH)2,"[{'O': '2.0', 'H': '2.0', 'Ni': '1.0'}]",92.707,Cathode,289.0,0.1,82.96507552238806
Li2Se,"[{'Li': '2.0', 'Se': '1.0'}]",92.851,Cathode,100.0,2.4,82.96507552238806
MnF2,"[{'Mn': '1.0', 'F': '2.0'}]",92.934,Anode,540.0,2.194840252955733,100.0
Co(OH)2,"[{'O': '2.0', 'H': '2.0', 'Co': '1.0'}]",92.947,Anode,690.0,2.194840252955733,82.96507552238806
LiAl0.15Co0.85O2,"[{'Li': '1.0', 'Al': '0.15', 'Co': '0.85', 'O': '2.0'}]",93.07835,Cathode,160.0,2.194840252955733,82.96507552238806
ZnO / C,"[{'Zn': '1.0', 'O': '1.0'}, {'C': '1.0'}]",93.39,Anode,650.0,2.194840252955733,82.96507552238806
LiMn0.95Cr0.05O2,"[{'Li': '1.0', 'Mn': '0.95', 'Cr': '0.05', 'O': '2.0'}]",93.7289,Cathode,170.0,2.194840252955733,82.96507552238806
VO2(B),"[{'B': '1.0', 'V': '1.0', 'O': '2.0'}]",93.7495,Cathode,500.0,2.194840252955733,82.96507552238806
TiN-C / sulfur,"[{'Ti': '1.0', 'N': '1.0'}, {'S': '1.0'}]",93.934,Cathode,989.0,2.194840252955733,82.96507552238806
LiNi0.8Co0.1Al0.1O2,"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.1', 'Al': '0.1', 'O': '2.0'}]",94.4839,Cathode,140.0,2.194840252955733,89.0
LiNi0.75Co0.15Al0.10O2,"[{'Li': '1.0', 'Ni': '0.75', 'Co': '0.15', 'Al': '0.1', 'O': '2.0'}]",94.4959,Cathode,172.2,2.194840252955733,82.96507552238806
Phosphate,"[{'P': '1.0', 'O': '4.0'}]",94.97,Cathode,197.0,1.5,82.96507552238806
